grid_id,final_score_citywide,score_source,driver_place,geometry
5*6*8*3*,6.02755293620994,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.9634172433438 37.57407180166068, 126.96341702297059 37.5745222989493, 126.96285101199103 37.57452212219185, 126.96285123577385 37.574071624906104, 126.9634172433438 37.57407180166068))"
5*8*6*0*,6.018141411741416,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.9531179197814 37.58925473271206, 126.95311763721082 37.589705228779856, 126.95255151134906 37.589705002563484, 126.95255179733178 37.58925450649934, 126.9531179197814 37.58925473271206))"
5*4*0*5*,6.01619009277099,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96303108886576 37.57531996428732, 126.96303086615634 37.57577046147847, 126.9624648457321 37.57577028286452, 126.96246507185131 37.57531978567625, 126.96303108886576 37.57531996428732))"
5*0*2*8*,6.011168,BASE_ONLY,,"POLYGON ((126.9574189056056 37.6082669194351, 126.95741864878222 37.6087174140745, 126.9568523788144 37.60871720839848, 126.95685263905317 37.608266713762426, 126.9574189056056 37.6082669194351))"
5*6*7*4*,5.9948693453909945,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96519989904766 37.57308001909426, 126.96519968942061 37.57353051646751, 126.96463368593619 37.57353034826101, 126.9646338989727 37.57307985089048, 126.96519989904766 37.57308001909426))"
5*5*3*1*,5.993937055849058,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96249597103885 37.574119391474355, 126.96249574511555 37.57456988875463, 126.96192973378179 37.57456970757984, 126.96192996311468 37.574119210302506, 126.96249597103885 37.574119391474355))"
5*4*2*1*,5.9854484,BASE_ONLY,,"POLYGON ((126.97529482172705 37.614995438752864, 126.97529467268421 37.61544593296004, 126.97472835159056 37.615445813040004, 126.97472850404989 37.61499531883477, 126.97529482172705 37.614995438752864))"
5*3*0*5*,5.985079441680726,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99942848676447 37.58511856497912, 126.99942848332032 37.5855690615146, 126.99886238859092 37.585569057416286, 126.99886239544655 37.58511856088088, 126.99942848676447 37.58511856497912))"
5*3*7*2*,5.979174549972395,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.95481575463212 37.57997757670786, 126.95481548238592 37.580428073496236, 126.95424942676257 37.58042785546882, 126.95424970241939 37.579977358683955, 126.95481575463212 37.57997757670786))"
5*1*8*6*,5.979008251897757,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((127.0011205443551 37.57872100559875, 127.00112055110635 37.57917150262366, 127.00055450481653 37.57917150663968, 127.00055450147568 37.57872100961471, 127.0011205443551 37.57872100559875))"
