"가맹점집계구코드(TOT_REG_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","국가별(COUNTRY_ENG_NM)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"1113075030010","SF010408","202008","20200817","ETC",4500,11
"1123079020003","SF020816","201802","20180215","미국",25730,1
"1122055030001","SF010203","201710","20171026","ETC",6400,1
"1119074050002","SF010203","201903","20190322","미국",226000,1
"1123067030004","SF082148","201709","20170913","미국",17800,1
"1102055050002","SF010408","202003","20200314","ETC",8550,1
"1123064030001","SF010305","202007","20200717","미국",172755.06,2
"1123064030007","SF082044","201705","20170517","ETC",10250000,1
"1122053030002","SF010408","201808","20180823","중국",27900,1
"1105057030001","SF010408","201908","20190806","미국",11000,1
"1114068030001","SF010408","201912","20191219","홍콩",26000,1
"1113075040005","SF041121","201911","20191127","중국",4800,1
"1119054030002","SF020713","201912","20191207","싱가폴",8500,1
"1122054030003","SF020713","202006","20200607","미국",31200,2.86
"1118057020002","SF010202","201705","20170529","중국",22400,1
"1120053010004","SF010101","201710","20171015","미국",11300,1
"1119076010004","SF020713","201808","20180825","미국",10550,1
"1106082050005","SF071943","201808","20180813","미국",6500,3
"1103063021701","SF010101","201902","20190225","미국",612704.61,1
"1121080010008","SF051330","201808","20180803","중국",9000,1
"1112051040005","SF031019","201703","20170308","영국",222969.19,1
"1105053010003","SF082148","202004","20200428","홍콩",16600,2
"1113076060003","SF010306","201906","20190620","미국",12900,2
"1101061040001","SF082148","201901","20190114","영국",9000,1
"1102055030001","SF020816","201806","20180613","미국",25133533,7
"1124052030002","SF020816","201901","20190126","ETC",3400,1
"1110063010009","SF010408","202107","20210703","중국",2500,2
"1122062010002","SF020715","202104","20210401","미국",499600,1
"1123053030001","SF020714","201906","20190629","ETC",9500,2
"1113075040001","SF010408","202012","20201224","중국",5150000,1
"1122062010007","SF010305","202007","20200721","일본",7600,2
"1120070050101","SF010305","201705","20170506","영국",2500,2.86
"1119076010006","SF041222","201701","20170104","미국",49000,2.86
"1104071040302","SF020816","201712","20171208","영국",10000,1
"1119054040001","SF020816","201902","20190206","일본",306812.98,1
"1123073010104","SF010408","201904","20190411","홍콩",50700,1
"1117068032001","SF010305","202102","20210215","미국",14270,1
"1104055020007","SF010408","201911","20191114","미국",16000,1
"1107057010021","SF061536","201708","20170827","영국",8500,1
"1102060050001","SF010101","202105","20210505","미국",16800,1
"1124064010020","SF020816","202011","20201119","미국",50000,1
"1104055030001","SF020816","202007","20200731","미국",21050,1
"1106082010002","SF010408","202012","20201211","미국",61150,3
"1105066010704","SF041121","201903","20190322","영국",31400,2
"1123078050009","SF010305","201812","20181216","미국",12400,1
"1123065020004","SF010307","201812","20181224","중국",24000,1
"1123064040008","SF041224","201810","20181026","미국",6950,1
"1123064030002","SF010305","201807","20180731","대만",18500,1
"1114059030003","SF061740","202105","20210530","미국",18260,1
"1121069030008","SF010101","201809","20180906","미국",23600,1
"1119056020001","SF031020","201904","20190430","미국",7500,1
"1121080020005","SF020713","201906","20190608","미국",32990,2.86
"1123051030006","SF010101","201903","20190316","미국",66000,1
"1116071010003","SF082045","201903","20190325","싱가폴",2000,1
"1105067010005","SF020917","202106","20210616","ETC",85225.83,1
"1109071040007","SF010305","201903","20190322","미국",50000,1
"1105067010002","SF020816","201703","20170307","ETC",4900,1
"1101061030002","SF020816","201704","20170401","미국",8180,1
"1104056010102","SF020713","201801","20180109","미국",4200,2
"1109065020002","SF010408","201908","20190810","ETC",22000,1
"1123053040006","SF020713","202011","20201126","미국",2932750,1
"1113075040005","SF010203","201906","20190620","러시아",5700000,2.86
"1114066050002","SF020816","201701","20170127","ETC",6000,1
"1114066070003","SF020816","201809","20180910","중국",6200,1
"1116051010004","SF020816","201803","20180323","ETC",121000,1
"1124080020103","SF010101","201908","20190815","미국",55300,5
"1123065020007","SF010408","201702","20170203","ETC",17800,1
"1114066080002","SF010408","201707","20170712","미국",53900,1
"1103074030002","SF051325","201706","20170615","러시아",42090,1
"1106089050001","SF010408","201904","20190413","ETC",10300,2
"1103070010014","SF010101","201706","20170611","미국",155090,1
"1119054030002","SF010408","202006","20200614","일본",40000,17.14
"1117056020011","SF082148","201907","20190727","미국",94600,1
"1101061030001","SF020917","201707","20170728","미국",4200,2.86
"1114066060003","SF010101","201812","20181206","ETC",40700,1
"1114066050001","SF082148","202007","20200703","홍콩",4750,2
"1102059010001","SF020816","202002","20200222","ETC",24000,1
"1114066100004","SF010408","202103","20210329","대만",800000,1
"1113076050002","SF031020","201908","20190815","ETC",8800,2
"1112055030006","SF020816","201909","20190911","영국",69800,1
"1114066090203","SF020713","201802","20180210","영국",49000,1
"1102067010104","SF020816","201808","20180809","미국",67000,1
"1103066030002","SF051325","201707","20170725","ETC",43764.61,1
"1122053040001","SF010306","201703","20170320","미국",10900,1
"1102057020004","SF010305","202002","20200214","ETC",12000,1
"1101054010001","SF031019","202103","20210327","일본",3300,2
"1112058010024","SF020713","202103","20210323","미국",6000,42.84
"1102057020006","SF010307","201906","20190620","ETC",26100,1
"1104055020007","SF010204","202010","20201013","미국",14000,1
"1102055010001","SF041121","201807","20180708","미국",4267400,2
"1125059010216","SF010101","202001","20200129","ETC",300000,1
"1110053010009","SF020816","201703","20170318","미국",15500,1
"1123052020017","SF010101","201806","20180628","ETC",179665.26,3
"1106089020004","SF010101","202010","20201024","태국",39000,1
"1122055020901","SF071943","201703","20170303","일본",61550,1
"1114076020006","SF010408","201807","20180709","미국",11420,3
"1117062010302","SF010101","202102","20210211","미국",4000,1
"1121058010004","SF020816","201903","20190311","미국",6500,1
"1113075040005","SF020816","201906","20190624","태국",5800,1
"1103063010002","SF010408","202105","20210527","미국",7500,1
"1123079020004","SF020816","202006","20200608","ETC",5700,2.86
