grid_id,lon,lat,base_score
5*6*3*3*,197876.252977447,552474.213887431,6.0423656
5*6*3*8*,199336.25051818,554373.567241664,2.201494
5*6*5*1*,201940.348788522,557209.565077038,4.0064716
5*6*5*7*,197220.43949323648,554248.851821173,3.126339
5*6*5*8*,198354.0565967284,556406.601386275,3.5349705
5*6*5*9*,196678.726868575,553378.676924699,3.3765042
5*6*6*1*,197917.204091617,557484.014020478,5.7460113
5*6*6*4*,197191.170784742,554475.155936502,3.5059612
5*6*6*5*,198057.6111293645,553799.683061823,3.6098108
5*6*6*7*,196230.61916606,552285.915690454,5.7098355
5*6*7*3*,196283.791580214,555747.95929827,4.899084
5*6*7*4*,196900.787074555,552640.677844176,5.9278474
5*6*7*6*,196528.991272448,557597.83721447,5.5265174
5*6*7*7*,196806.644048385,553391.983138244,3.0007658
5*6*7*8*,199136.794325195,556946.284551711,5.913673
5*6*8*0*,196387.524410147,552803.999218572,5.7319717
5*6*8*2*,199776.124821345,555086.305770824,4.280608
5*6*8*3*,196743.351555133,552750.814050846,5.9610996
5*6*8*9*,200528.737488714,553925.72066801,5.585063
5*6*9*3*,198627.259157474,552840.710724243,5.8459387
5*6*9*5*,197670.6760260095,552574.4975146065,2.897209
5*6*9*7*,198418.766819043,556758.530028315,5.079493
5*6*9*8*,195951.383498052,553245.998296123,1.6215645
5*6*9*9*,196586.959798439,555939.438151861,3.69878
5*7*0*0*,199466.029215332,554633.6583782565,3.3996758
5*7*0*2*,197440.113638654,558704.149140247,4.3172755
5*7*0*3*,199391.030084457,558648.831960144,4.2160735
5*7*0*9*,198422.84760172467,553437.1002800573,3.1089187
5*7*2*0*,196236.470792801,553526.807736712,5.990375
5*7*2*5*,195798.203085536,557261.689459632,4.8887224
5*7*2*7*,198484.454557663,553390.652834812,4.702069
5*7*2*8*,197368.303286231,557749.423141723,5.7925262
5*7*2*9*,196348.697055245,557796.228163904,4.7427373
5*7*3*2*,198287.910745578,552422.622818397,5.965795
5*7*4*1*,197113.7932971285,554537.65612655,3.8614404
5*7*4*2*,196864.083486021,553491.160724296,3.9631114
5*7*4*5*,198278.875959436,558647.235836382,4.360329
5*7*4*6*,196949.720135185,556133.575163604,2.954386
5*7*6*0*,197490.088211552,553197.595957451,4.399361
5*7*6*2*,196745.478976668,557055.851538197,5.8834667
5*7*6*6*,197046.522549313,554937.379295588,3.096663
5*7*7*0*,199432.524218383,552528.993249763,5.5123215
5*7*7*3*,198110.0117258235,554530.748366124,3.807604
5*7*7*6*,196485.918220664,554932.318064585,3.1161275
5*7*8*0*,197118.8470906925,554622.7445298635,3.75901
5*7*8*1*,198288.973558258,553724.669703903,3.0982935
5*7*8*7*,196826.313453205,553447.047982138,4.408527
5*7*8*9*,197946.463407027,552576.333361197,1.8506653
5*7*9*5*,198223.032286881,556151.655298379,2.9116113
5*7*9*6*,197092.771537902,555888.90979628,2.7981446
5*7*9*7*,198352.542904897,553136.9497767941,3.5679607
5*8*0*1*,197993.243873898,558034.508126463,5.0118165
5*8*1*1*,196284.854473866,552986.98063548,5.7943387
5*8*1*4*,199988.338142313,554089.8103261346,3.484011
5*8*1*5*,199425.083134409,555546.377378108,2.9343941
5*8*2*0*,199280.407550161,552661.979772545,5.7745376
5*8*2*1*,197962.9343230705,555690.517002484,3.739953
5*8*2*2*,197834.236241637,552113.077102476,5.5848174
5*8*2*8*,197305.2766051575,553815.113800731,3.718802
5*8*3*1*,197507.128366121,557633.4717632,5.472001
5*8*3*3*,199044.239948093,558593.514896242,4.342017
5*8*4*7*,196631.1210892815,554389.8070517329,3.031269
5*8*4*8*,199273.497727746,552505.081367129,5.69906
5*8*5*2*,199335.719085756,556184.635263814,4.8377423
5*8*5*6*,198023.04515344,557586.666762563,5.8379908
5*8*6*0*,195834.370565054,554436.350182884,5.95499
5*8*6*9*,197793.788191576,553406.617763619,2.009529
5*8*8*0*,196588.022627728,552616.765395505,5.7011075
5*8*8*5*,196655.054952777,554976.7262652561,3.4754095
5*8*8*9*,196369.4400399275,552785.9092874634,3.124189
5*9*1*3*,197782.643588516,554850.676794149,3.5245404
5*9*1*5*,196435.925205049,554206.034873939,3.28224
5*9*2*2*,198442.708324578,557831.33016311,5.6164737
5*9*3*5*,198300.163601642,553911.369420636,3.4656549
5*9*4*7*,195958.29622429,553244.935388802,5.777088
5*9*4*9*,198794.274150476,555270.5040929763,3.8062677
5*9*5*1*,196961.676975452,553260.858847876,4.0340586
5*9*5*3*,197631.57501366752,555371.1220317241,3.4954998
5*9*5*4*,198788.941849815,556863.310272853,5.909955
5*9*5*5*,198840.0237955265,554927.7965192465,3.793925
5*9*6*8*,196736.4182501,552616.234009538,5.796049
5*9*7*1*,196298.700468381,552694.44058758,5.7648597
5*9*7*3*,198173.567056548,553588.002712755,2.8956742
5*9*7*4*,201491.436983876,557397.318512423,4.0964856
5*9*9*2*,199320.83676987,552915.152520407,5.6013503
5*9*9*3*,197176.2934481705,557716.9777594451,3.7032063
