place_id,place_code,place_name,api_query,category,grid_id,weight,mapping_source,review_status,grid_lon_wgs84,grid_lat_wgs84,place_centroid_lon,place_centroid_lat
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*1*8*7*,0.008306682695413467,SPATIAL_JOIN,SPATIAL_MATCHED,126.99069737895182,37.57985399586091,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*2*4*8*,0.038740015756485814,SPATIAL_JOIN,SPATIAL_MATCHED,126.99155928762015,37.572720779566914,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*3*0*4*,0.022023438700810177,SPATIAL_JOIN,SPATIAL_MATCHED,126.99002906940278,37.57973185271724,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*3*1*6*,0.012946752433827586,SPATIAL_JOIN,SPATIAL_MATCHED,126.99881425974736,37.57150415254961,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*4*5*6*,0.002457774177332491,SPATIAL_JOIN,SPATIAL_MATCHED,126.99365371927338,37.58083894787678,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*4*8*0*,0.0023760958814090546,SPATIAL_JOIN,SPATIAL_MATCHED,126.99069063079304,37.58566461055956,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*5*1*4*,0.13323437884027214,SPATIAL_JOIN,SPATIAL_MATCHED,126.99248891912387,37.57749387439688,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*7*7*0*,0.0010959742252999265,SPATIAL_JOIN,SPATIAL_MATCHED,126.99357623874845,37.57230394968847,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*8*2*0*,0.0024666845368877745,SPATIAL_JOIN,SPATIAL_MATCHED,126.99185416488847,37.573502045308274,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*8*4*8*,0.05887520076153873,SPATIAL_JOIN,SPATIAL_MATCHED,126.991776100682,37.57208839312568,126.9939955,37.5790435
